dates,cases
1/22/20,0.8571428571428571
1/23/20,0.7142857142857143
1/24/20,0.4285714285714285
1/25/20,0.5714285714285714
1/26/20,0.5714285714285714
1/27/20,0.2857142857142857
1/28/20,0.1428571428571428
1/29/20,0.1428571428571428
1/30/20,0.1428571428571428
1/31/20,0.1428571428571428
2/1/20,0.1428571428571428
2/2/20,0.2857142857142857
2/3/20,0.2857142857142857
2/4/20,0.5714285714285714
2/5/20,0.5714285714285714
2/6/20,0.5714285714285714
2/7/20,0.7142857142857143
2/8/20,0.5714285714285714
2/9/20,0.4285714285714285
2/10/20,0.4285714285714285
2/11/20,0.1428571428571428
2/12/20,0.1428571428571428
2/13/20,0.1428571428571428
2/14/20,0.1428571428571428
2/15/20,0.1428571428571428
2/16/20,0.1428571428571428
2/17/20,0.2857142857142857
2/18/20,0.5714285714285714
2/19/20,0.7142857142857143
2/20/20,0.8571428571428571
2/21/20,0.8571428571428571
2/22/20,1.2857142857142858
2/23/20,1.4285714285714286
2/24/20,1.5714285714285714
2/25/20,2.142857142857143
2/26/20,2.7142857142857144
2/27/20,3.2857142857142856
2/28/20,4.142857142857143
2/29/20,4.571428571428571
3/1/20,5.571428571428571
3/2/20,7.0
3/3/20,8.857142857142858
3/4/20,9.285714285714286
3/5/20,11.714285714285714
3/6/20,14.142857142857142
3/7/20,16.285714285714285
3/8/20,24.142857142857142
3/9/20,31.142857142857142
3/10/20,42.0
3/11/20,50.42857142857143
3/12/20,61.0
3/13/20,79.14285714285714
3/14/20,97.28571428571428
3/15/20,122.85714285714286
3/16/20,150.14285714285714
3/17/20,185.42857142857144
3/18/20,247.7142857142857
3/19/20,298.85714285714283
3/20/20,369.57142857142856
3/21/20,448.2857142857143
3/22/20,495.57142857142856
3/23/20,594.0
3/24/20,669.2857142857143
3/25/20,730.2857142857143
3/26/20,799.1428571428571
3/27/20,882.8571428571429
3/28/20,959.1428571428572
3/29/20,1064.7142857142858
3/30/20,1175.857142857143
3/31/20,1242.0
4/1/20,1300.0
4/2/20,1336.142857142857
4/3/20,1374.571428571429
4/4/20,1396.7142857142858
4/5/20,1385.857142857143
4/6/20,1337.428571428571
4/7/20,1310.571428571429
4/8/20,1316.2857142857142
4/9/20,1338.142857142857
4/10/20,1380.428571428571
4/11/20,1423.428571428571
4/12/20,1496.428571428571
4/13/20,1551.571428571429
4/14/20,1691.857142857143
4/15/20,1713.2857142857142
4/16/20,1764.428571428571
4/17/20,1752.2857142857142
4/18/20,1738.142857142857
4/19/20,1752.2857142857142
4/20/20,1758.428571428571
4/21/20,1689.0
4/22/20,1697.0
4/23/20,1627.142857142857
4/24/20,1619.142857142857
4/25/20,1609.571428571429
4/26/20,1587.142857142857
4/27/20,1562.857142857143
4/28/20,1587.142857142857
4/29/20,1554.857142857143
4/30/20,1561.7142857142858
5/1/20,1521.7142857142858
5/2/20,1503.428571428571
5/3/20,1478.7142857142858
5/4/20,1426.142857142857
5/5/20,1339.0
5/6/20,1309.0
5/7/20,1277.428571428571
5/8/20,1227.142857142857
5/9/20,1187.428571428571
5/10/20,1146.142857142857
5/11/20,1123.142857142857
5/12/20,1133.2857142857142
5/13/20,1134.571428571429
5/14/20,1158.857142857143
5/15/20,1167.7142857142858
5/16/20,1151.2857142857142
5/17/20,1155.428571428571
5/18/20,1156.142857142857
5/19/20,1130.2857142857142
5/20/20,1094.857142857143
5/21/20,1058.428571428571
5/22/20,1041.0
5/23/20,1007.4285714285714
5/24/20,954.4285714285714
5/25/20,907.5714285714286
5/26/20,904.5714285714286
5/27/20,883.8571428571429
5/28/20,852.0
5/29/20,828.0
5/30/20,808.1428571428571
5/31/20,779.1428571428571
6/1/20,749.8571428571429
6/2/20,672.4285714285714
6/3/20,638.4285714285714
6/4/20,593.0
6/5/20,543.7142857142857
6/6/20,516.0
6/7/20,488.57142857142856
6/8/20,464.2857142857143
6/9/20,454.8571428571428
6/10/20,428.7142857142857
6/11/20,413.0
6/12/20,402.4285714285714
6/13/20,391.7142857142857
6/14/20,377.1428571428572
6/15/20,376.2857142857143
6/16/20,365.8571428571428
6/17/20,362.1428571428572
6/18/20,363.0
6/19/20,359.85714285714283
6/20/20,354.0
6/21/20,344.2857142857143
6/22/20,328.2857142857143
6/23/20,319.57142857142856
6/24/20,332.0
6/25/20,332.7142857142857
6/26/20,324.2857142857143
6/27/20,326.57142857142856
6/28/20,312.57142857142856
6/29/20,320.42857142857144
6/30/20,319.1428571428572
7/1/20,294.2857142857143
7/2/20,272.0
7/3/20,280.0
7/4/20,277.0
7/5/20,291.1428571428572
7/6/20,289.0
7/7/20,293.2857142857143
7/8/20,295.0
7/9/20,303.1428571428572
7/10/20,330.2857142857143
7/11/20,346.42857142857144
7/12/20,358.57142857142856
7/13/20,379.7142857142857
7/14/20,405.57142857142856
7/15/20,426.1428571428572
7/16/20,431.7142857142857
7/17/20,467.8571428571428
7/18/20,472.7142857142857
7/19/20,469.2857142857143
7/20/20,505.57142857142856
7/21/20,492.4285714285714
7/22/20,485.57142857142856
7/23/20,493.2857142857143
7/24/20,469.8571428571428
7/25/20,458.0
7/26/20,475.0
7/27/20,433.57142857142856
7/28/20,435.7142857142857
7/29/20,424.0
7/30/20,406.4285714285714
7/31/20,354.42857142857144
8/1/20,399.0
8/2/20,378.57142857142856
8/3/20,362.4285714285714
8/4/20,361.0
8/5/20,358.85714285714283
8/6/20,364.4285714285714
8/7/20,409.57142857142856
8/8/20,362.8571428571428
